DATE,Total Industrial Grey WF
1/12/2016,601.5656
1/13/2016,1004.6577
1/14/2016,749.6202
1/15/2016,614.8513
1/16/2016,686.5368
1/17/2016,671.4950
1/18/2016,935.7596
1/19/2016,685.6245
1/20/2016,1049.4548
1/21/2016,608.8643
1/22/2016,761.7177
1/23/2016,614.8616
1/24/2016,998.0490
1/25/2016,604.8719
1/26/2016,1131.7236
1/27/2016,700.3200
1/28/2016,670.1875
1/29/2016,992.8244
1/30/2016,609.4620
1/31/2016,1049.5338
2/1/2016,3902.8492
2/2/2016,3934.1812
2/3/2016,7516.5221
2/4/2016,7369.0191
2/5/2016,7897.2141
2/6/2016,4323.2732
2/7/2016,6924.7899
2/8/2016,3960.7974
2/9/2016,4778.6602
2/10/2016,6892.2050
2/11/2016,5030.3754
2/12/2016,4766.4408
2/13/2016,3992.4292
2/14/2016,4993.1380
2/15/2016,6829.7434
2/16/2016,7484.7421
2/17/2016,4083.6500
2/18/2016,3910.2426
2/19/2016,5007.3956
2/20/2016,7573.8937
2/21/2016,3902.8492
2/22/2016,4569.8630
2/23/2016,6893.6111
2/24/2016,4635.1322
2/25/2016,4323.2701
2/26/2016,7576.3180
2/27/2016,4449.7202
2/28/2016,4501.5806
2/29/2016,4090.1086
3/1/2016,643.2582
3/2/2016,760.9909
3/3/2016,1035.2024
3/4/2016,630.7250
3/5/2016,699.0656
3/6/2016,1097.4714
3/7/2016,637.8984
3/8/2016,720.0227
3/9/2016,1101.5922
3/10/2016,1018.5165
3/11/2016,698.4146
3/12/2016,665.1050
3/13/2016,1035.2034
3/14/2016,760.9807
3/15/2016,621.6771
3/16/2016,883.2150
3/17/2016,777.6107
3/18/2016,637.7969
3/19/2016,629.2746
3/20/2016,1092.5249
3/21/2016,763.4097
3/22/2016,679.8649
3/23/2016,1023.2613
3/24/2016,724.0018
3/25/2016,633.5010
3/26/2016,621.9313
3/27/2016,675.5294
3/28/2016,1100.8731
3/29/2016,1030.8149
3/30/2016,675.5294
3/31/2016,618.3639
4/1/2016,1368.4836
4/2/2016,1368.4836
4/3/2016,2489.2657
4/4/2016,2532.6441
4/5/2016,1538.9786
4/6/2016,1495.6002
4/7/2016,1513.8021
4/8/2016,2535.5337
4/9/2016,2285.8886
4/10/2016,1378.5972
4/11/2016,1703.9266
4/12/2016,2343.4441
4/13/2016,1514.7266
4/14/2016,1407.8372
4/15/2016,1567.2941
4/16/2016,1352.1651
4/17/2016,2298.3887
4/18/2016,1517.1131
4/19/2016,1617.6256
4/20/2016,1368.4836
4/21/2016,2629.5016
4/22/2016,1388.2077
4/23/2016,1352.1651
4/24/2016,2503.4041
4/25/2016,1693.3916
4/26/2016,1410.2237
4/27/2016,2288.2751
4/28/2016,2641.4986
4/29/2016,1497.9867
4/30/2016,1388.2077
5/1/2016,2381.5275
5/2/2016,3796.5776
5/3/2016,3839.3801
5/4/2016,2553.7581
5/5/2016,2462.3876
5/6/2016,2219.1900
5/7/2016,3196.3851
5/8/2016,2538.4701
5/9/2016,2266.3605
5/10/2016,2455.2980
5/11/2016,3607.1856
5/12/2016,2478.6856
5/13/2016,2235.8955
5/14/2016,3898.7981
5/15/2016,2204.5415
5/16/2016,2174.6625
5/17/2016,2568.8062
5/18/2016,2423.9315
5/19/2016,2550.9976
5/20/2016,3682.0276
5/21/2016,3591.4376
5/22/2016,2381.5265
5/23/2016,2176.2912
5/24/2016,2477.6744
5/25/2016,2575.9531
5/26/2016,3679.2006
5/27/2016,2381.5275
5/28/2016,3948.5152
5/29/2016,3905.7127
5/30/2016,2222.7975
5/31/2016,2179.9950
6/1/2016,955.7812
6/2/2016,948.0217
6/3/2016,1016.0490
6/4/2016,706.2842
6/5/2016,616.0742
6/6/2016,596.6039
6/7/2016,638.2589
6/8/2016,638.2589
6/9/2016,1029.1655
6/10/2016,577.1031
6/11/2016,1030.6848
6/12/2016,620.2686
6/13/2016,651.3754
6/14/2016,572.5253
6/15/2016,567.5497
6/16/2016,616.0722
6/17/2016,650.0022
6/18/2016,1043.8013
6/19/2016,577.0991
6/20/2016,971.7191
6/21/2016,629.0160
6/22/2016,1030.6848
6/23/2016,563.9866
6/24/2016,635.5750
6/25/2016,967.9079
6/26/2016,592.4095
6/27/2016,638.2589
6/28/2016,629.1907
6/29/2016,1102.2732
6/30/2016,579.6764
7/1/2016,3852.7996
7/2/2016,3852.7996
7/3/2016,4358.1121
7/4/2016,4271.2337
7/5/2016,4347.8593
7/6/2016,6983.8425
7/7/2016,6504.3844
7/8/2016,4726.4892
7/9/2016,6427.5720
7/10/2016,4227.6506
7/11/2016,4227.6506
7/12/2016,4761.3754
7/13/2016,6433.2661
7/14/2016,4006.2780
7/15/2016,4379.4253
7/16/2016,4006.8602
7/17/2016,6789.5498
7/18/2016,3900.8891
7/19/2016,5800.3677
7/20/2016,3934.7981
7/21/2016,3884.1273
7/22/2016,6901.6351
7/23/2016,4810.9079
7/24/2016,4517.0544
7/25/2016,3892.4224
7/26/2016,6427.7730
7/27/2016,3930.8921
7/28/2016,4658.2558
7/29/2016,6506.5668
7/30/2016,6936.3547
7/31/2016,3852.7996
8/1/2016,805.0112
8/2/2016,819.0042
8/3/2016,1174.0985
8/4/2016,778.5762
8/5/2016,1274.3847
8/6/2016,1174.0638
8/7/2016,778.5762
8/8/2016,892.2336
8/9/2016,746.1122
8/10/2016,755.7680
8/11/2016,1297.0273
8/12/2016,792.9180
8/13/2016,716.5992
8/14/2016,1003.1065
8/15/2016,1214.1785
8/16/2016,824.0750
8/17/2016,730.8990
8/18/2016,905.5172
8/19/2016,1188.5655
8/20/2016,774.1546
8/21/2016,721.9344
8/22/2016,1254.6063
8/23/2016,820.1832
8/24/2016,711.5112
8/25/2016,895.5262
8/26/2016,1188.5735
8/27/2016,735.5278
8/28/2016,1250.4323
8/29/2016,805.0112
8/30/2016,720.7550
8/31/2016,711.5112
9/1/2016,2719.7844
9/2/2016,2724.5574
9/3/2016,3196.9984
9/4/2016,5284.0034
9/5/2016,4571.7772
9/6/2016,2756.1882
9/7/2016,3065.0142
9/8/2016,3034.2262
9/9/2016,3407.8532
9/10/2016,4686.8882
9/11/2016,2795.4472
9/12/2016,3193.0682
9/13/2016,2736.9672
9/14/2016,4921.9004
9/15/2016,3154.8154
9/16/2016,4596.7774
9/17/2016,3082.7302
9/18/2016,2736.9672
9/19/2016,4901.6732
9/20/2016,2814.6682
9/21/2016,3193.0682
9/22/2016,4687.8944
9/23/2016,2995.9734
9/24/2016,3052.6044
9/25/2016,4576.5502
9/26/2016,3115.3672
9/27/2016,3349.3732
9/28/2016,2760.9612
9/29/2016,4880.6032
9/30/2016,4987.5872
10/1/2016,5984.0520
10/2/2016,5984.0520
10/3/2016,5447.3806
10/4/2016,8378.0433
10/5/2016,8832.5431
10/6/2016,7925.3344
10/7/2016,4802.7006
10/8/2016,5317.0848
10/9/2016,4990.7468
10/10/2016,7391.5418
10/11/2016,4844.3979
10/12/2016,5215.3371
10/13/2016,5359.7270
10/14/2016,8122.3255
10/15/2016,5588.8167
10/16/2016,4870.0956
10/17/2016,7987.7154
10/18/2016,5771.1753
10/19/2016,5475.5229
10/20/2016,4844.3999
10/21/2016,4993.7512
10/22/2016,8537.9547
10/23/2016,5593.6761
10/24/2016,4897.2342
10/25/2016,7933.2951
10/26/2016,5475.5228
10/27/2016,5445.9721
10/28/2016,8378.0228
10/29/2016,4897.1537
10/30/2016,7925.3339
10/31/2016,4897.1542
11/1/2016,5944.1910
11/2/2016,9569.2080
11/3/2016,5905.3830
11/4/2016,8992.2855
11/5/2016,5481.1680
11/6/2016,8819.3985
11/7/2016,6474.0885
11/8/2016,5218.1910
11/9/2016,9623.6085
11/10/2016,5738.9310
11/11/2016,5944.1910
11/12/2016,5251.1580
11/13/2016,9615.2430
11/14/2016,5821.4805
11/15/2016,5372.5155
11/16/2016,5808.7755
11/17/2016,5977.1580
11/18/2016,8771.4330
11/19/2016,9292.1730
11/20/2016,8990.6685
11/21/2016,5439.0435
11/22/2016,6017.5830
11/23/2016,5860.2885
11/24/2016,5781.0555
11/25/2016,6543.9330
11/26/2016,9292.1730
11/27/2016,5363.3580
11/28/2016,6126.2355
11/29/2016,8852.3655
11/30/2016,5288.0355
12/1/2016,9535.7585
12/2/2016,9535.7585
12/3/2016,10950.0645
12/4/2016,11140.3178
12/5/2016,16683.3729
12/6/2016,17233.4753
12/7/2016,9453.6801
12/8/2016,10530.6803
12/9/2016,9453.6801
12/10/2016,15616.1675
12/11/2016,11392.3131
12/12/2016,15605.5219
12/13/2016,9642.9079
12/14/2016,10036.1951
12/15/2016,18114.9318
12/16/2016,10304.0711
12/17/2016,9576.5006
12/18/2016,9786.9941
12/19/2016,17733.8985
12/20/2016,10694.9924
12/21/2016,9437.6801
12/22/2016,10528.0803
12/23/2016,9912.6696
12/24/2016,16842.6137
12/25/2016,9520.0804
12/26/2016,9645.6838
12/27/2016,15605.1748
12/28/2016,10530.6613
12/29/2016,9453.6803
12/30/2016,16842.6147
12/31/2016,16507.0493
1/1/2017,13193.1170
1/2/2017,13362.8035
1/3/2017,13321.4124
1/4/2017,8783.7268
1/5/2017,9107.4644
1/6/2017,8028.0211
1/7/2017,8682.5205
1/8/2017,8911.0789
1/9/2017,8060.0657
1/10/2017,13914.5559
1/11/2017,9124.5697
1/12/2017,7873.7202
1/13/2017,8116.5221
1/14/2017,12956.4952
1/15/2017,9349.7236
1/16/2017,8175.5321
1/17/2017,9245.6770
1/18/2017,9242.6736
1/19/2017,12956.4152
1/20/2017,8060.9321
1/21/2017,8149.9991
1/22/2017,14914.5551
1/23/2017,7889.1258
1/24/2017,9077.4876
1/25/2017,7938.5237
1/26/2017,12064.6013
1/27/2017,9181.5752
1/28/2017,8799.9224
1/29/2017,12971.9108
1/30/2017,13849.7964
1/31/2017,9644.6736
2/1/2017,5778.4806
2/2/2017,5933.6652
2/3/2017,10524.7115
2/4/2017,7378.0913
2/5/2017,6973.6992
2/6/2017,10515.7983
2/7/2017,7547.1721
2/8/2017,11176.3862
2/9/2017,5976.4012
2/10/2017,11470.0073
2/11/2017,6647.3169
2/12/2017,6880.1866
2/13/2017,11098.9360
2/14/2017,10486.7983
2/15/2017,6866.3804
2/16/2017,6502.3399
2/17/2017,11301.6419
2/18/2017,6591.2459
2/19/2017,6042.6032
2/20/2017,10832.5405
2/21/2017,6782.3848
2/22/2017,11424.0478
2/23/2017,6753.6841
2/24/2017,7880.5036
2/25/2017,6709.9958
2/26/2017,12180.9342
2/27/2017,6922.4909
2/28/2017,5960.7520
3/1/2017,5699.5097
3/2/2017,10073.3103
3/3/2017,5612.9909
3/4/2017,6468.8757
3/5/2017,6054.5926
3/6/2017,5711.8227
3/7/2017,8722.0920
3/8/2017,9744.1420
3/9/2017,9414.6565
3/10/2017,6296.7555
3/11/2017,5654.0371
3/12/2017,5696.3559
3/13/2017,9507.3298
3/14/2017,5648.1387
3/15/2017,6862.0958
3/16/2017,9304.9848
3/17/2017,5781.3294
3/18/2017,6237.5926
3/19/2017,9658.5809
3/20/2017,5810.7834
3/21/2017,5780.9012
3/22/2017,6971.8114
3/23/2017,9963.8521
3/24/2017,6908.2368
3/25/2017,6545.0122
3/26/2017,9284.1377
3/27/2017,5659.0919
3/28/2017,9976.1551
3/29/2017,6862.0358
3/30/2017,6568.2690
3/31/2017,5602.0371
4/1/2017,2806.8609
4/2/2017,2866.2122
4/3/2017,5179.8558
4/4/2017,3531.5653
4/5/2017,3001.3317
4/6/2017,4729.7254
4/7/2017,5010.1414
4/8/2017,3503.4475
4/9/2017,2912.3555
4/10/2017,3139.9819
4/11/2017,4729.7254
4/12/2017,3263.3328
4/13/2017,2930.6012
4/14/2017,3192.6023
4/15/2017,5121.4780
4/16/2017,2831.4481
4/17/2017,5127.1508
4/18/2017,3192.7715
4/19/2017,2859.5659
4/20/2017,4760.1546
4/21/2017,2871.7494
4/22/2017,3538.2116
4/23/2017,5256.4283
4/24/2017,3139.9819
4/25/2017,2866.2122
4/26/2017,5086.7139
4/27/2017,3251.1493
4/28/2017,3340.9298
4/29/2017,5056.2847
4/30/2017,2942.7847
5/1/2017,3208.3044
5/2/2017,3208.3044
5/3/2017,5556.5944
5/4/2017,5431.3744
5/5/2017,4021.6234
5/6/2017,3729.7534
5/7/2017,4524.3044
5/8/2017,3282.4444
5/9/2017,3942.2384
5/10/2017,5312.4434
5/11/2017,3280.4684
5/12/2017,3175.9584
5/13/2017,5586.4734
5/14/2017,3606.4934
5/15/2017,5674.9544
5/16/2017,3500.1744
5/17/2017,3271.7744
5/18/2017,5321.1694
5/19/2017,3938.8740
5/20/2017,3295.0344
5/21/2017,3293.4534
5/22/2017,3641.2584
5/23/2017,3916.4244
5/24/2017,5295.4584
5/25/2017,5288.3934
5/26/2017,3543.3384
5/27/2017,3598.4184
5/28/2017,6002.7234
5/29/2017,3175.9584
5/30/2017,3238.1934
5/31/2017,3175.9584
6/1/2017,816.0450
6/2/2017,833.1020
6/3/2017,1548.6917
6/4/2017,929.9433
6/5/2017,1493.7369
6/6/2017,1518.1894
6/7/2017,916.7343
6/8/2017,928.2413
6/9/2017,1499.1981
6/10/2017,836.7403
6/11/2017,846.5453
6/12/2017,1398.6468
6/13/2017,1039.6829
6/14/2017,835.0383
6/15/2017,928.2413
6/16/2017,1398.5580
6/17/2017,930.1284
6/18/2017,899.4430
6/19/2017,938.9936
6/20/2017,1427.4451
6/21/2017,816.0450
6/22/2017,911.1843
6/23/2017,853.7085
6/24/2017,1526.1735
6/25/2017,906.6062
6/26/2017,833.1020
6/27/2017,1500.9001
6/28/2017,897.7410
6/29/2017,1616.9444
6/30/2017,816.0450
7/1/2017,585.0379
7/2/2017,607.1888
7/3/2017,602.1554
7/4/2017,534.8404
7/5/2017,960.6782
7/6/2017,557.2586
7/7/2017,567.0379
7/8/2017,546.2810
7/9/2017,1005.8423
7/10/2017,620.1982
7/11/2017,551.5121
7/12/2017,553.6811
7/13/2017,593.9671
7/14/2017,961.5679
7/15/2017,548.4477
7/16/2017,552.9813
7/17/2017,599.9174
7/18/2017,951.2734
7/19/2017,554.7702
7/20/2017,894.9819
7/21/2017,576.8364
7/22/2017,596.7082
7/23/2017,1024.2790
7/24/2017,966.2693
7/25/2017,751.4058
7/26/2017,545.3210
7/27/2017,585.0379
7/28/2017,544.1563
7/29/2017,960.6782
7/30/2017,888.3597
7/31/2017,604.9381
8/1/2017,2062.7103
8/2/2017,2152.0792
8/3/2017,3163.3840
8/4/2017,2375.9342
8/5/2017,1885.7253
8/6/2017,3608.9512
8/7/2017,3147.6733
8/8/2017,1926.8722
8/9/2017,2060.1675
8/10/2017,2181.1926
8/11/2017,3200.3561
8/12/2017,1901.2436
8/13/2017,2057.7858
8/14/2017,1909.6722
8/15/2017,3448.1650
8/16/2017,1911.9125
8/17/2017,2619.4047
8/18/2017,2379.9614
8/19/2017,3406.8452
8/20/2017,3118.5499
8/21/2017,1955.9612
8/22/2017,2346.8108
8/23/2017,1886.1253
8/24/2017,3188.7942
8/25/2017,2078.4286
8/26/2017,1951.7968
8/27/2017,3350.1800
8/28/2017,1963.8113
8/29/2017,2140.7933
8/30/2017,2161.9951
8/31/2017,1885.7253
9/1/2017,1819.2037
9/2/2017,2023.6247
9/3/2017,3117.0782
9/4/2017,3284.7437
9/5/2017,1969.3209
9/6/2017,2060.1682
9/7/2017,1807.2787
9/8/2017,3051.5437
9/9/2017,2120.0264
9/10/2017,3491.2529
9/11/2017,1778.3937
9/12/2017,1819.2037
9/13/2017,2023.1212
9/14/2017,2227.9397
9/15/2017,3058.6669
9/16/2017,1859.3194
9/17/2017,2202.7117
9/18/2017,3255.8587
9/19/2017,1807.2787
9/20/2017,1862.9764
9/21/2017,2010.1309
9/22/2017,3296.6687
9/23/2017,1855.8532
9/24/2017,1782.0507
9/25/2017,3047.3832
9/26/2017,2218.1029
9/27/2017,1834.0914
9/28/2017,3255.8587
9/29/2017,2005.9704
9/30/2017,3186.2697
10/1/2017,2613.0792
10/2/2017,2796.7692
10/3/2017,2840.9547
10/4/2017,1647.1542
10/5/2017,1820.4992
10/6/2017,1630.2697
10/7/2017,1740.1242
10/8/2017,1587.9792
10/9/2017,2833.6722
10/10/2017,1827.3117
10/11/2017,1622.2017
10/12/2017,2626.1472
10/13/2017,1831.3922
10/14/2017,1624.6882
10/15/2017,2747.4947
10/16/2017,1796.1042
10/17/2017,1737.4020
10/18/2017,1843.8022
10/19/2017,1771.2417
10/20/2017,2206.7842
10/21/2017,1591.0842
10/22/2017,1899.4547
10/23/2017,2762.1192
10/24/2017,1737.0192
10/25/2017,1753.1922
10/26/2017,1848.0817
10/27/2017,2640.7092
10/28/2017,1601.0472
10/29/2017,2048.5047
10/30/2017,2637.6042
10/31/2017,1855.2792
11/1/2017,10466.9235
11/2/2017,10708.0710
11/3/2017,11392.6560
11/4/2017,20363.6235
11/5/2017,14411.9745
11/6/2017,10376.9985
11/7/2017,11254.2210
11/8/2017,15980.2335
11/9/2017,19775.4645
11/10/2017,10593.9735
11/11/2017,11344.1460
11/12/2017,14237.0085
11/13/2017,10424.9145
11/14/2017,15955.8960
11/15/2017,11188.0395
11/16/2017,19611.8835
11/17/2017,14946.7395
11/18/2017,10581.0210
11/19/2017,16779.8895
11/20/2017,10503.8485
11/21/2017,10515.4335
11/22/2017,19804.5210
11/23/2017,15889.7145
11/24/2017,11151.5085
11/25/2017,10466.9235
11/26/2017,19899.9470
11/27/2017,11344.1460
11/28/2017,15841.1985
11/29/2017,14958.1245
11/30/2017,14309.0970
12/1/2017,10158.7083
12/2/2017,11464.5481
12/3/2017,17918.5033
12/4/2017,10180.8722
12/5/2017,11937.3044
12/6/2017,10524.4675
12/7/2017,16549.1361
12/8/2017,9982.9492
12/9/2017,17544.4732
12/10/2017,11093.1417
12/11/2017,10080.7083
12/12/2017,10117.4448
12/13/2017,19117.3439
12/14/2017,17484.2584
12/15/2017,11175.3232
12/16/2017,10274.9465
12/17/2017,17854.2546
12/18/2017,10180.8722
12/19/2017,10918.2095
12/20/2017,11351.2999
12/21/2017,15189.5018
12/22/2017,9982.9582
12/23/2017,10180.8722
12/24/2017,18831.4618
12/25/2017,10064.9018
