DATE,Industrial Grey WF_Semambu Area
6/27/2016,613.1905
6/28/2016,591.0058
6/29/2016,1069.4473
6/30/2016,534.7238
7/1/2016,3680.6013
7/2/2016,3680.6013
7/3/2016,4185.9138
7/4/2016,4050.0794
7/5/2016,4125.704
7/6/2016,6761.6872
7/7/2016,6180.7501
7/8/2016,4555.2919
7/9/2016,6256.3747
7/10/2016,4050.0794
7/11/2016,4050.0794
7/12/2016,4555.3919
7/13/2016,6180.7401
7/14/2016,3756.0259
7/15/2016,4050.0794
7/16/2016,3680.6013
7/17/2016,6559.4872
7/18/2016,3680.6013
7/19/2016,5551.0794
7/20/2016,3756.2259
7/21/2016,3680.5013
7/22/2016,6686.0516
7/23/2016,4555.3819
7/24/2016,4261.5284
7/25/2016,3726.2259
7/26/2016,6255.4747
7/27/2016,3680.6013
7/28/2016,4407.9638
7/29/2016,6256.2747
7/30/2016,6686.0626
7/31/2016,3680.6013
8/1/2016,773.1487
8/2/2016,787.1417
8/3/2016,1142.261
8/4/2016,746.7137
8/5/2016,1212.254
8/6/2016,1142.261
8/7/2016,746.7137
8/8/2016,840.2137
8/9/2016,693.6217
8/10/2016,693.6417
8/11/2016,1249.751
8/12/2016,746.7137
8/13/2016,679.9487
8/14/2016,971.254
8/15/2016,1182.326
8/16/2016,772.5487
8/17/2016,679.6487
8/18/2016,854.2067
8/19/2016,1142.254
8/20/2016,746.6637
8/21/2016,679.6487
8/22/2016,1209.326
8/23/2016,787.1417
8/24/2016,679.6487
8/25/2016,849.2137
8/26/2016,1142.261
8/27/2016,693.6417
8/28/2016,1209.326
8/29/2016,773.1487
8/30/2016,679.6487
8/31/2016,679.6487
9/1/2016,2578.667
9/2/2016,2578.667
9/3/2016,3013.698
9/4/2016,5100.703
9/5/2016,4450.887
9/6/2016,2635.298
9/7/2016,2906.714
9/8/2016,2850.083
9/9/2016,3228.483
9/10/2016,4507.518
9/11/2016,2578.667
9/12/2016,3013.698
9/13/2016,2578.667
9/14/2016,4722.303
9/15/2016,3013.698
9/16/2016,4450.887
9/17/2016,2957.067
9/18/2016,2578.667
9/19/2016,4722.303
9/20/2016,2635.298
9/21/2016,3013.698
9/22/2016,4450.887
9/23/2016,2850.083
9/24/2016,2906.714
9/25/2016,4450.887
9/26/2016,2957.067
9/27/2016,3228.483
9/28/2016,2635.298
9/29/2016,4722.303
9/30/2016,4829.287
10/1/2016,5671.4424
10/2/2016,5671.4424
10/3/2016,5134.771
10/4/2016,8162.9712
10/5/2016,8435.8409
10/6/2016,7710.2623
10/7/2016,4587.6285
10/8/2016,5039.6174
10/9/2016,4682.0821
10/10/2016,7092.3773
10/11/2016,4587.6285
10/12/2016,4966.5285
10/13/2016,5040.3174
10/14/2016,7804.7159
10/15/2016,5276.2071
10/16/2016,4587.6285
10/17/2016,7710.2623
10/18/2016,5490.1424
10/19/2016,5218.7535
10/20/2016,4587.6285
10/21/2016,4681.9821
10/22/2016,8162.9512
10/23/2016,5218.7535
10/24/2016,4682.0821
10/25/2016,7710.2623
10/26/2016,5218.7535
10/27/2016,5134.769
10/28/2016,8162.9512
10/29/2016,4682.0821
10/30/2016,7710.2623
10/31/2016,4682.0821
11/1/2016,5673.4425
