Date,Industrial Blue WF_Semambu Area
12/3/2015,54693.2916
12/4/2015,63163.7914
12/5/2015,39957.5933
12/6/2015,91038.6550
12/7/2015,67433.0996
12/8/2015,80094.4930
12/9/2015,60667.1725
12/10/2015,88649.8040
12/11/2015,53447.3441
12/12/2015,89594.8419
12/13/2015,74932.3399
12/14/2015,65520.3265
12/15/2015,24502.9203
12/16/2015,69044.7382
12/17/2015,42081.3481
12/18/2015,81667.9242
12/19/2015,47778.5844
12/20/2015,77203.0285
12/21/2015,92135.4100
12/22/2015,37483.1679
12/23/2015,54876.2674
12/24/2015,16824.1782
12/25/2015,19373.5889
12/26/2015,13361.6941
12/27/2015,15071.6686
12/28/2015,16186.6821
12/29/2015,37303.1421
12/30/2015,89199.8930
12/31/2015,43938.8397
1/1/2016,74530.3845
1/2/2016,67815.6795
1/3/2016,28333.9927
1/4/2016,75668.3705
1/5/2016,68671.8288
1/6/2016,60467.2889
1/7/2016,84505.4121
1/8/2016,90960.4525
1/9/2016,65216.3654
1/10/2016,21218.9902
1/11/2016,44780.1034
1/12/2016,73300.7340
1/13/2016,89944.8192
1/14/2016,62166.0237
1/15/2016,34324.1405
1/16/2016,100681.6020
1/17/2016,97500.4212
1/18/2016,77040.1505
1/19/2016,99148.8127
1/20/2016,114808.3101
1/21/2016,58643.9923
1/22/2016,52642.0681
1/23/2016,50595.8118
1/24/2016,24040.8048
1/25/2016,32344.5278
1/26/2016,70561.8181
1/27/2016,55910.9642
1/28/2016,13207.7004
1/29/2016,88567.2036
1/30/2016,46956.6274
1/31/2016,61533.5989
2/1/2016,96568.3271
2/2/2016,42465.2908
2/3/2016,42376.0365
2/4/2016,64154.4213
2/5/2016,85332.5851
2/6/2016,93946.1707
2/7/2016,83192.4404
2/8/2016,65232.0933
2/9/2016,45459.7944
2/10/2016,6269.0587
2/11/2016,70411.1188
2/12/2016,46032.6626
2/13/2016,38994.3730
2/14/2016,58390.2999
2/15/2016,93252.7318
2/16/2016,58351.5440
2/17/2016,67562.5745
2/18/2016,93034.0290
2/19/2016,12618.0679
2/20/2016,92415.8732
2/21/2016,82702.0465
2/22/2016,62690.4481
2/23/2016,8564.0518
2/24/2016,44795.0487
2/25/2016,64691.1388
2/26/2016,100006.2565
2/27/2016,43074.1557
2/28/2016,76933.9320
2/29/2016,65740.4289
3/1/2016,77382.6243
3/2/2016,85459.4369
3/3/2016,86305.8955
3/4/2016,68100.4316
3/5/2016,92647.7012
3/6/2016,70927.8761
3/7/2016,93585.0010
3/8/2016,21098.6642
3/9/2016,94181.8368
3/10/2016,22647.0355
3/11/2016,38862.4482
3/12/2016,7571.1390
3/13/2016,11059.4001
3/14/2016,84615.6959
3/15/2016,46456.4214
3/16/2016,6605.9214
3/17/2016,95198.9851
3/18/2016,62110.5364
3/19/2016,15333.1901
3/20/2016,81714.7974
3/21/2016,54349.6236
3/22/2016,32696.5224
3/23/2016,81487.2396
3/24/2016,61852.2036
3/25/2016,33619.3231
3/26/2016,55599.1973
3/27/2016,58024.0355
3/28/2016,8781.8592
3/29/2016,34621.8597
3/30/2016,20129.9019
3/31/2016,94681.1962
4/1/2016,65960.6886
4/2/2016,108481.5467
4/3/2016,30683.2666
4/4/2016,72480.2642
4/5/2016,33315.2921
4/6/2016,43291.8200
4/7/2016,76362.6339
4/8/2016,49094.2308
4/9/2016,44286.1415
4/10/2016,47767.3001
4/11/2016,5589.1017
4/12/2016,30025.7109
4/13/2016,10950.9300
4/14/2016,107309.4835
4/15/2016,43482.1431
4/16/2016,91018.6494
4/17/2016,38189.4561
4/18/2016,26722.9424
4/19/2016,104860.4125
4/20/2016,45210.4942
4/21/2016,72270.9305
4/22/2016,81138.2124
4/23/2016,80774.1865
4/24/2016,68488.4394
4/25/2016,24461.5009
4/26/2016,43237.1883
4/27/2016,20085.3601
4/28/2016,52301.1820
4/29/2016,67335.2568
4/30/2016,22577.2348
5/1/2016,62718.6660
5/2/2016,49157.1792
5/3/2016,87426.1131
5/4/2016,87830.7200
5/5/2016,18305.5545
5/6/2016,64148.1699
5/7/2016,80635.4251
5/8/2016,7154.0580
5/9/2016,6680.0420
5/10/2016,99277.4600
5/11/2016,37356.0891
5/12/2016,81553.9870
5/13/2016,92390.2514
5/14/2016,79771.7606
5/15/2016,43712.7718
5/16/2016,71737.5618
5/17/2016,90371.7636
5/18/2016,13057.9429
5/19/2016,77038.8982
5/20/2016,88525.5487
5/21/2016,66169.0710
5/22/2016,52663.8971
5/23/2016,32990.7918
5/24/2016,73534.2021
5/25/2016,32354.8349
5/26/2016,19693.1570
5/27/2016,32129.6471
5/28/2016,48895.2888
5/29/2016,95461.6744
5/30/2016,29199.0199
5/31/2016,85924.4531
6/1/2016,73398.5190
6/2/2016,63454.5226
6/3/2016,14088.0429
6/4/2016,99515.1679
