DATE,Industrial Grey WF_Panching Area
1/18/2017,398.5072
1/19/2017,398.5072
1/20/2017,585.7091
1/21/2017,520.4852
1/22/2017,585.6037
1/23/2017,413.9028
1/24/2017,570.3115
1/25/2017,463.3007
1/26/2017,707.3121
1/27/2017,520.1082
1/28/2017,585.7091
1/29/2017,413.9028
1/30/2017,398.5072
1/31/2017,398.5072
2/1/2017,292.4618
2/2/2017,447.6464
2/3/2017,447.6464
2/4/2017,292.4618
2/5/2017,416.2064
2/6/2017,438.7332
2/7/2017,461.5526
2/8/2017,292.4618
2/9/2017,350.9886
2/10/2017,460.827
2/11/2017,354.4418
2/12/2017,461.5526
2/13/2017,616.0116
2/14/2017,409.7332
2/15/2017,448.5464
2/16/2017,292.4618
2/17/2017,292.4616
2/18/2017,298.3678
2/19/2017,556.5844
2/20/2017,616.1116
2/21/2017,364.5508
2/22/2017,306.372
2/23/2017,460.806
2/24/2017,557.4848
2/25/2017,292.4618
2/26/2017,364.8946
2/27/2017,629.9128
2/28/2017,474.7332
3/1/2017,381.0044
3/2/2017,294.4856
3/3/2017,294.4856
3/4/2017,416.1516
3/5/2017,310.5318
3/6/2017,283.5318
3/7/2017,500.3429
3/8/2017,283.5318
3/9/2017,370.0506
3/10/2017,452.4703
3/11/2017,335.5318
3/12/2017,377.0506
3/13/2017,462.7339
3/14/2017,329.6334
3/15/2017,283.5918
3/16/2017,370.1545
3/17/2017,462.8241
3/18/2017,283.5318
3/19/2017,283.5318
3/20/2017,492.2881
3/21/2017,462.3959
3/22/2017,283.5318
3/23/2017,503.2419
3/24/2017,329.6328
3/25/2017,492.2881
3/26/2017,283.5318
3/27/2017,340.5866
3/28/2017,405.7693
3/29/2017,283.5318
3/30/2017,405.7693
3/31/2017,283.5318
4/1/2017,147.6078
4/2/2017,206.9591
4/3/2017,141.7658
4/4/2017,141.7658
4/5/2017,283.5316
4/6/2017,141.7658
4/7/2017,141.7658
4/8/2017,172.195
4/9/2017,253.1024
4/10/2017,141.7658
4/11/2017,141.7658
4/12/2017,212.4963
4/13/2017,212.8011
4/14/2017,141.7658
4/15/2017,253.1024
4/16/2017,172.195
4/17/2017,147.6078
4/18/2017,253.1024
4/19/2017,141.7658
4/20/2017,172.195
4/21/2017,212.4963
4/22/2017,206.9591
4/23/2017,218.3383
4/24/2017,141.7658
4/25/2017,206.9591
4/26/2017,218.3383
4/27/2017,141.7658
4/28/2017,231.5463
4/29/2017,187.9091
4/30/2017,283.5316
5/1/2017,193.0884
5/2/2017,193.0884
5/3/2017,193.0884
5/4/2017,186.8784
5/5/2017,230.0424
5/6/2017,236.2524
5/7/2017,279.0924
5/8/2017,267.2284
5/9/2017,212.7924
5/10/2017,209.7924
5/11/2017,265.2524
5/12/2017,160.7424
5/13/2017,160.7424
