Date,Industrial Blue WF_Panching Area
8/16/2016,711.1314
8/17/2016,277.3504
8/18/2016,281.6651
8/19/2016,230.9241
8/20/2016,220.7971
8/21/2016,768.8951
8/22/2016,247.2935
8/23/2016,390.4781
8/24/2016,195.1648
8/25/2016,640.3236
8/26/2016,639.4051
8/27/2016,215.8115
8/28/2016,281.5580
8/29/2016,512.5846
8/30/2016,74.8355
8/31/2016,418.5694
9/1/2016,618.1366
9/2/2016,338.8360
9/3/2016,85.2616
9/4/2016,821.9493
9/5/2016,77.0944
9/6/2016,116.8342
9/7/2016,123.4299
9/8/2016,611.1317
9/9/2016,780.0405
9/10/2016,804.5701
9/11/2016,635.2848
9/12/2016,576.9101
9/13/2016,607.7874
9/14/2016,739.5469
9/15/2016,252.9740
9/16/2016,218.6911
9/17/2016,570.4348
9/18/2016,531.7601
9/19/2016,366.8100
9/20/2016,405.2041
9/21/2016,431.9831
9/22/2016,624.2580
9/23/2016,124.0298
9/24/2016,748.2349
9/25/2016,516.5071
9/26/2016,414.6193
9/27/2016,726.3439
9/28/2016,462.3886
9/29/2016,775.5360
9/30/2016,643.4115
10/1/2016,248.7372
10/2/2016,62.4458
10/3/2016,131.6553
10/4/2016,309.3309
10/5/2016,83.3154
10/6/2016,595.0075
10/7/2016,677.9797
10/8/2016,357.2217
10/9/2016,516.4470
10/10/2016,323.1751
10/11/2016,303.2526
10/12/2016,490.7821
10/13/2016,681.2297
10/14/2016,378.9792
10/15/2016,530.7779
10/16/2016,309.4575
10/17/2016,417.3123
10/18/2016,482.1914
10/19/2016,129.0161
10/20/2016,346.3919
10/21/2016,423.2318
10/22/2016,612.2222
10/23/2016,90.5627
10/24/2016,630.4234
10/25/2016,687.4016
10/26/2016,350.4662
10/27/2016,621.7669
10/28/2016,128.3646
10/29/2016,606.9045
10/30/2016,525.5021
10/31/2016,382.4477
11/1/2016,788.9122
11/2/2016,544.5004
11/3/2016,509.1998
11/4/2016,1090.5260
11/5/2016,184.9219
11/6/2016,492.8411
11/7/2016,629.9927
11/8/2016,96.3724
11/9/2016,1070.5588
11/10/2016,54.0357
11/11/2016,775.8944
11/12/2016,146.4960
11/13/2016,95.0183
11/14/2016,292.2608
11/15/2016,1104.5475
11/16/2016,272.8159
11/17/2016,382.6915
11/18/2016,488.8781
11/19/2016,475.1156
11/20/2016,596.6053
11/21/2016,772.4181
11/22/2016,447.6699
11/23/2016,626.1723
11/24/2016,706.2485
11/25/2016,363.0818
11/26/2016,507.0138
11/27/2016,245.0806
11/28/2016,796.6997
11/29/2016,1036.6973
11/30/2016,827.7333
12/1/2016,674.1841
12/2/2016,284.4911
12/3/2016,601.1260
12/4/2016,383.8544
12/5/2016,626.6025
12/6/2016,475.0474
12/7/2016,133.2843
12/8/2016,655.1190
12/9/2016,340.6297
12/10/2016,397.9527
12/11/2016,565.0982
12/12/2016,486.2268
12/13/2016,389.2385
12/14/2016,374.6753
12/15/2016,130.9903
12/16/2016,324.9628
12/17/2016,652.7861
12/18/2016,546.6241
12/19/2016,617.6851
12/20/2016,275.4471
12/21/2016,551.4927
12/22/2016,127.6050
12/23/2016,214.1781
12/24/2016,129.1596
12/25/2016,650.3045
12/26/2016,124.0323
12/27/2016,730.9308
12/28/2016,667.9864
12/29/2016,684.5541
12/30/2016,115.4474
12/31/2016,732.2834
1/1/2017,624.5279
1/2/2017,203.1481
1/3/2017,667.9398
1/4/2017,362.4524
1/5/2017,262.6483
1/6/2017,55.3336
1/7/2017,583.7005
1/8/2017,241.9939
1/9/2017,415.6320
1/10/2017,53.8018
1/11/2017,261.3151
1/12/2017,414.2070
1/13/2017,232.3072
1/14/2017,251.6351
1/15/2017,543.7723
1/16/2017,206.6604
1/17/2017,268.8091
1/18/2017,433.9675
1/19/2017,483.6781
1/20/2017,668.8719
1/21/2017,72.8011
1/22/2017,516.5378
1/23/2017,605.8142
1/24/2017,426.3572
1/25/2017,606.4696
1/26/2017,88.5428
1/27/2017,108.1811
1/28/2017,375.0233
1/29/2017,316.3006
1/30/2017,236.9357
1/31/2017,399.6344
2/1/2017,520.9659
2/2/2017,261.3379
2/3/2017,139.2949
2/4/2017,587.9738
2/5/2017,512.5435
2/6/2017,831.7383
2/7/2017,238.7053
2/8/2017,82.0716
2/9/2017,273.2202
2/10/2017,128.1728
2/11/2017,439.1262
2/12/2017,266.5486
2/13/2017,623.5578
2/14/2017,546.5438
2/15/2017,79.9863
2/16/2017,173.5227
2/17/2017,672.8340
2/18/2017,217.4738
2/19/2017,444.3545
2/20/2017,117.3883
2/21/2017,814.5542
2/22/2017,669.0112
2/23/2017,522.3294
2/24/2017,388.0040
2/25/2017,750.8215
2/26/2017,820.2323
2/27/2017,814.1615
2/28/2017,518.5257
3/1/2017,164.0383
3/2/2017,177.9056
3/3/2017,134.3245
3/4/2017,396.7869
3/5/2017,382.2505
3/6/2017,521.1475
3/7/2017,586.4103
3/8/2017,529.3790
3/9/2017,491.2867
3/10/2017,117.2715
3/11/2017,91.7775
3/12/2017,573.6129
3/13/2017,246.4517
3/14/2017,364.2346
3/15/2017,126.3969
3/16/2017,642.4321
3/17/2017,258.5763
3/18/2017,257.4485
3/19/2017,693.6536
3/20/2017,326.2481
3/21/2017,258.3030
3/22/2017,504.6919
3/23/2017,264.0871
3/24/2017,651.4224
3/25/2017,242.3614
3/26/2017,422.0657
3/27/2017,220.1656
3/28/2017,651.8938
3/29/2017,549.2828
3/30/2017,692.1460
3/31/2017,223.9471
4/1/2017,718.4304
4/2/2017,316.7368
4/3/2017,72.8274
4/4/2017,97.8382
4/5/2017,655.6191
4/6/2017,332.5428
4/7/2017,254.5054
4/8/2017,507.8493
4/9/2017,580.7065
4/10/2017,836.6258
4/11/2017,432.3771
4/12/2017,71.7614
4/13/2017,731.0530
4/14/2017,656.6762
4/15/2017,473.6517
4/16/2017,629.1609
4/17/2017,279.2048
4/18/2017,564.5804
4/19/2017,831.0661
4/20/2017,267.8574
4/21/2017,501.5055
4/22/2017,496.5850
4/23/2017,314.1717
4/24/2017,262.3482
4/25/2017,845.3989
4/26/2017,826.5633
4/27/2017,684.9136
4/28/2017,525.3453
4/29/2017,519.1852
4/30/2017,707.9127
5/1/2017,189.9958
5/2/2017,83.3370
5/3/2017,753.3149
5/4/2017,516.3700
5/5/2017,865.2856
5/6/2017,80.6975
5/7/2017,182.5082
5/8/2017,212.1708
5/9/2017,238.9592
5/10/2017,956.5627
5/11/2017,647.9964
5/12/2017,233.0570
5/13/2017,651.3043
5/14/2017,77.7704
5/15/2017,136.4079
5/16/2017,273.0424
5/17/2017,546.4219
5/18/2017,341.4175
5/19/2017,829.1476
5/20/2017,638.4445
5/21/2017,828.5433
5/22/2017,569.5722
5/23/2017,646.9008
5/24/2017,399.3963
5/25/2017,305.5626
5/26/2017,668.7128
5/27/2017,823.9369
5/28/2017,872.8732
5/29/2017,531.7211
5/30/2017,837.7156
5/31/2017,889.8535
6/1/2017,563.6081
6/2/2017,307.8208
6/3/2017,650.9892
6/4/2017,357.7740
6/5/2017,777.7353
6/6/2017,316.8316
6/7/2017,484.1145
6/8/2017,682.5327
6/9/2017,604.3476
6/10/2017,266.7768
6/11/2017,613.3763
6/12/2017,502.0840
6/13/2017,420.6474
6/14/2017,55.3410
6/15/2017,107.7980
6/16/2017,800.9053
6/17/2017,144.6899
6/18/2017,199.7412
6/19/2017,172.3751
6/20/2017,161.5197
6/21/2017,828.5807
6/22/2017,526.1688
6/23/2017,672.7797
6/24/2017,81.5672
6/25/2017,630.6578
6/26/2017,347.5907
6/27/2017,245.7952
6/28/2017,697.2122
6/29/2017,488.7782
6/30/2017,125.8610
7/1/2017,547.8167
7/2/2017,1299.2305
7/3/2017,614.0571
7/4/2017,635.4247
7/5/2017,1376.9300
7/6/2017,781.2471
7/7/2017,753.9985
7/8/2017,1458.9331
7/9/2017,987.4067
7/10/2017,1266.9330
7/11/2017,881.4606
7/12/2017,564.2061
7/13/2017,1015.9837
7/14/2017,1290.1503
7/15/2017,1022.1333
7/16/2017,450.3103
7/17/2017,896.2426
7/18/2017,789.0719
7/19/2017,783.5624
7/20/2017,917.0986
7/21/2017,219.6360
7/22/2017,865.2500
7/23/2017,1139.5482
7/24/2017,228.4892
7/25/2017,223.2656
7/26/2017,146.0687
7/27/2017,821.4613
7/28/2017,1495.9849
7/29/2017,739.3810
7/30/2017,926.5614
7/31/2017,742.1564
8/1/2017,966.2531
8/2/2017,797.7355
8/3/2017,1033.3589
8/4/2017,417.4340
8/5/2017,429.1186
8/6/2017,340.2883
8/7/2017,71.2625
8/8/2017,714.7870
8/9/2017,619.3571
8/10/2017,489.4661
8/11/2017,307.0815
8/12/2017,341.4013
8/13/2017,701.9494
8/14/2017,201.1236
8/15/2017,817.1902
8/16/2017,289.6565
8/17/2017,165.5749
8/18/2017,1050.3259
8/19/2017,171.0414
8/20/2017,681.0291
8/21/2017,211.2891
8/22/2017,121.4007
8/23/2017,147.0927
8/24/2017,147.2200
8/25/2017,756.6175
8/26/2017,171.5546
8/27/2017,881.1925
8/28/2017,1076.7759
8/29/2017,915.4352
8/30/2017,843.0236
8/31/2017,1009.9633
9/1/2017,114.9466
9/2/2017,898.8603
9/3/2017,874.3100
9/4/2017,943.3429
9/5/2017,440.0133
9/6/2017,184.8442
9/7/2017,349.3277
9/8/2017,172.2012
9/9/2017,693.0292
9/10/2017,140.2034
9/11/2017,306.8674
9/12/2017,877.8860
9/13/2017,807.4580
9/14/2017,98.3995
9/15/2017,356.9166
9/16/2017,930.3103
9/17/2017,519.4919
9/18/2017,512.7453
9/19/2017,742.4710
9/20/2017,892.4630
9/21/2017,731.5459
9/22/2017,259.5570
9/23/2017,627.8832
9/24/2017,578.1829
9/25/2017,126.7981
9/26/2017,176.2221
9/27/2017,172.1986
9/28/2017,502.1239
9/29/2017,199.6616
9/30/2017,95.7387
10/1/2017,502.2688
10/2/2017,765.9670
10/3/2017,123.5093
10/4/2017,265.5815
10/5/2017,717.1450
10/6/2017,150.8118
10/7/2017,303.1390
10/8/2017,330.5957
10/9/2017,343.9583
10/10/2017,105.7243
10/11/2017,566.0799
10/12/2017,466.9477
10/13/2017,152.3675
10/14/2017,525.6467
10/15/2017,544.8992
10/16/2017,333.5544
10/17/2017,91.1152
10/18/2017,667.4583
10/19/2017,535.0735
10/20/2017,424.4783
10/21/2017,520.0785
10/22/2017,162.0461
10/23/2017,141.6436
10/24/2017,468.4900
10/25/2017,538.9475
10/26/2017,542.4755
10/27/2017,337.5072
10/28/2017,566.6460
10/29/2017,80.1014
10/30/2017,707.5508
10/31/2017,633.1920
11/1/2017,335.9868
11/2/2017,705.8226
11/3/2017,967.8641
11/4/2017,232.4623
11/5/2017,190.5393
11/6/2017,129.8765
11/7/2017,612.4918
11/8/2017,111.7113
11/9/2017,201.3592
11/10/2017,522.1676
11/11/2017,226.3802
11/12/2017,902.2616
11/13/2017,664.0943
11/14/2017,890.0462
11/15/2017,510.7358
11/16/2017,406.2257
11/17/2017,433.2558
11/18/2017,155.6316
11/19/2017,536.0296
11/20/2017,912.9356
11/21/2017,475.3195
11/22/2017,239.4184
11/23/2017,271.4207
11/24/2017,879.1015
11/25/2017,947.4326
11/26/2017,454.8241
11/27/2017,326.2776
11/28/2017,717.3779
11/29/2017,108.2480
11/30/2017,101.7016
12/1/2017,410.4006
12/2/2017,635.8378
12/3/2017,781.7079
12/4/2017,845.4140
12/5/2017,185.5651
12/6/2017,1210.4205
12/7/2017,1115.9387
12/8/2017,1079.7560
12/9/2017,636.7518
12/10/2017,1175.1015
12/11/2017,657.5425
12/12/2017,1068.4359
12/13/2017,1046.5485
12/14/2017,118.5303
12/15/2017,605.8393
12/16/2017,1106.4328
12/17/2017,593.1003
12/18/2017,347.6844
12/19/2017,502.0352
12/20/2017,998.7956
12/21/2017,653.4017
12/22/2017,1264.1585
12/23/2017,1246.5714
12/24/2017,393.5365
12/25/2017,905.1796
12/26/2017,134.3987
12/27/2017,1215.5679
12/28/2017,445.0022
12/29/2017,132.8326
12/30/2017,737.0409
12/31/2017,1245.4712
1/1/2018,542.6691
1/2/2018,411.5261
1/3/2018,486.0507
1/4/2018,614.0765
1/5/2018,266.3979
1/6/2018,106.8727
1/7/2018,464.2998
1/8/2018,491.4528
1/9/2018,163.2623
1/10/2018,432.2956
1/11/2018,143.0371
1/12/2018,278.3304
1/13/2018,498.1066
1/14/2018,191.8016
1/15/2018,441.4220
1/16/2018,576.8773
1/17/2018,659.3549
1/18/2018,235.8344
1/19/2018,285.3011
1/20/2018,209.3644
1/21/2018,106.6081
1/22/2018,624.3523
1/23/2018,595.6116
1/24/2018,63.9455
1/25/2018,143.5610
1/26/2018,672.7501
1/27/2018,727.0309
1/28/2018,62.3217
1/29/2018,676.4903
1/30/2018,372.0975
1/31/2018,122.8976
2/1/2018,239.5206
2/2/2018,88.9626
2/3/2018,709.6781
2/4/2018,692.5303
2/5/2018,216.0181
2/6/2018,745.3570
2/7/2018,513.5370
2/8/2018,575.1023
2/9/2018,74.1800
2/10/2018,316.4569
2/11/2018,33.0984
2/12/2018,14.2892
2/13/2018,268.6443
2/14/2018,639.7795
2/15/2018,750.5711
2/16/2018,516.8903
2/17/2018,432.3381
2/18/2018,439.2473
2/19/2018,502.3630
2/20/2018,434.5971
2/21/2018,460.4877
2/22/2018,98.2592
